question
 질문 1. 중학생 과목별 인강 추천해주세요. 질문 2. 인강으로 어떻게 공부해야 하나요?(자세하게) 
 중학생이고... 이시국에 가도 되나요? 정신적으로 문제가 있다고 생각이 되어서 가보려고 하는데요 정신과는 아무래도 부모님께 말해야하기도 하고... 제가 상담 받아본... 
" 중학생여드름 질문드립니다! 중학교 올라가는데 아직도 여드름이 ㅠㅠ 초등학교 5학년때부터 나기 시작했는데, 여드름 제품 사용해 보고 싶어요. 세트로 구매하면 비싸서... "
 계속 친구들 보내는데만 보내봐서..질문하게됐어요. 청라수학과외 유명하신 분 찾는데 중학생 3학년이랑 고등학생 2학년이거든요 입시까지 해주시는 전문과외쌤 찾아요 
 안녕하세요 부사관학과를 꿈꾸는 중학생입니다 몇가지 질문을 여쭤보겠습니다 1.부사관학과를 갈려면 공부를 잘해야하나요? 아니면 내신이 높아야하나요? 2.부사관학과는... 
 저 예비 중학생인데 제가 낯가림도 심하고 적응도 잘 못하고 걱정하고 고민부터 하는 성격이라서 먼저 알아두고 중학교 생활 시작하면 좋을 것 같아서 질문해요ㅠ 1.중학교... 
 전문인분들 제 질문에 자세히! 답 좀 부탁드려요 ㅜㅁㅜ 1. 쌍수를 하기 가장 적절한 나이는 몇살인가요 2. 중학생(16살)이 쌍수를 하면 부모님께서 하시는 말 처럼... 
 저는 중2 여학생 입니다. 먼저 상황을 말씀 드리자면 체육시간에 저희 친구들이랑 다른 무리(?) 친구들이 있는데 저희가 공을 가지고 놀다가 그친구들이 갑자기 끼더니 공을... 
" 중학생 3학년, 사회교과서를 받았는데요 출판사가 천재교과서인데 천재교과서에서 나온 문제집이 없어서 그런데... 천재교육에서 나온 문제집을 사야 되는건가요, 아님... "
" 주변에 아는 중학생언니도 없어서 여기애 물어보내여ㅠㅠ 1 . 교복 위에 입을 옷 (후드 ,자켓) 인터넷에서 어디로 들어가 사야되나여? 2 . 학교에서 슬리퍼를 신나요?... "
" lTQ , GTQ 자격증이 중학생도 취득가능하다고 해서 이거 한번 따보려고 하는데 어떤식으로 공부해야 하는지 알려주세요 ㅜㅜ 제가 자격증 따는건 좋아하는데 이쪽 자격증은... "
 이번에 2차 재난지원금 시작했는데 중학생 15만원 지급된다고 확정 되었잔아요.... 긴급재난지원금 2차 중학생 지원비 압류방지 통장 가능한지 알려주십시오. 
" 중학생이 된다고 해서 그런지 공부나 학교생활에 관한 궁금증이 많은데요, 질문이 많더라도 성실하게 답변 해주셨음 합니다..! [ 공부 관련 ] Q : 중학교 올라가고 치는... "
" 목요일에 ( 지금은 화요일 ) 수영장을 가는데 , 피임약을 먹어서 늦추려 하거든요 ?? ㅜㅠ 중학생이 혼자 약국에 가서 약을 사도 처방해주나요 ?? 부모님이랑 가야되나요 ? "
" 예비중학생이라면 누구나 다 하는 질문 있잖아요??ㅎㅎ 1)중학생 필수품(최대한 많고, 자세하게 해주세용!) 2)반배정시험...(:이렇거 아직두 보나요?? 3)그외... 그냥 그외... "
 안녕하세요 중3 인천사는 중학생입니다 다름이 아니라 저희 어머니가 되게 코로나에 예민하셔가지고 질문드립니다 ... 지금 시험이 한달 남아있고 제가 공부 잘하는편이... 
 올해 중학생이 되는 예비 중학생이라고 합니다. 다름이 아니라 질문 몇가지 드리고자 오랜만에 지식인에 발걸음을 들이게 되었는데요. 성실하고 좋은 답변 해주신다면... 
" 중학생이 되는데. 궁금한 게 있어서 말이죠..; 질문을 하는데, 답변 부탁드리겟씁니다. 질문이 기니까. 내공 제거 최대로.;; 내공이 없어서 10 드립니다;; 1. 제가 갈 학교가... "
 제가 중학생 인데 문제가 되는줄 모르고 아청법 위반 영상인지 는 모르겠지만 많이 보았는데 얼마나 기다려야 안심할수있나요? 그리고 만약 아청법 위반 영상이면 어떡하나요? 
 어쨌든 질문!!! 1.중학생 분들 스타킹 신으실때 제모를 하시고 신으시나요? 2.여름때는 스타킹을 신을건데 신는 분들이있나요?(중1기준) 3.스타킹 신고 양말을 신어야... 
 제가 공기계를 사려는데요 질문 드릴게요 1.중학생 혼자서 아무것도 없이 돈만내고 사와도 되나요? 2.삼성디지털플라자 같은곳 에서 사면 추가요금 없이 살수있나요? 3.... 
 안녕하세요 아직 6학년이지만 반년만 더 있으면 중학생이 되는 학생입니다 여름방학도 끝나가고 그래서 질문올려봅니다 뭔가 친구사귀기도 어려울것같고 그래서요ㅠㅠ... 
 중학생은 예습이랑 복습 해야하나요?? 2. 저희반에 초등떄 학원 많이다녀서 거의 전교1등수준?있었는데 그런애들 몇%쯤 공불 계속 잘하나요? 3. 보통 7시학원갈때... 
 제가요번에 미국 라스베가스로 유학을가게되는데요 지금 미국 중학생들을 잘몰라서... 질문답변좀잘해주세요ㅠㅠㅠㅠㅠ\ 1.거기 미국 중학생한1학년?들은 어떤... 
