answer
 답변 질문 1. 중학생 과목별 인강 추천해주세요. -> 수박씨닷컴은 주요과목의 경우 출판사별로 내신강의가 진행중입니다. 질문자님의 학교 교과서 출판사에 맞춰 강의 선택을... 
 답변 안녕하세요. 아산시 청소년상담복지센터 사이버상담원입니다. 글쓴이님의 글은 잘 읽어보았습니다. 심리상담을 받고 싶은데 걱정이 되는 부분이 있어 글을 올려주셨네요.... 
 답변 안녕하세요~ 중학생여드름 질문 받았습니다. 세트로 구매해서 사용하는게 좋긴 한데 우선 질문자님한테 맞는 제품을 고르기가 쉽지는 않으니 중학생여드름에 효과적인것이... 
 답변 초등학생 중학생 고등학생에게 큰 힘이 되어주고 있습니다. 청라초등학생수학과외 청라중학생수학과외 청라고등학생수학과외 청라영어과외 청라수학과외 청라과외... 
 답변 남학생이면 국방부지정 군특성화고로 가세요. 군특성화고는 졸업과 동시에 병으로 입대하여 병장만기 후 전문하사로 임관하는 제도 입니다. 일부 학교는 성적이 낮아도 갈... 
 답변 1.중학교 1학년 과목은 무엇이 있나요? 중학교는 고등학교와 달리 공통 교육과정에 의거하여 필수적으로 이수해야 할 교과목들이 거의 고정적인 편이다. 대부분의... 
" 답변 경우 중학생 이전의 나이라도 바로잡아주는 것이 좋습니다. 단 청소년기에는 흉터도... 질문에 도움이 되시길 바라며, 혼자 고민하기 보다는 병원에 직접 내원하시어 수술... "
 답변 중학생 학폭위 질문 잘 읽어 보았습니다. 중2여학생으로 학생들 간의 감정적 분쟁과 여러가지 어려움을 겪고 있는 상황으로 보입니다. 학폭위 심의 시에는 다양한 상황을... 
" 답변 안녕하세요? 수박씨 멘토입니다.^^ 중학교 3학년 사회 교과서가 천재거라면 문제집 천재와 관련된 걸로 꼭 맞춰서 살 필요가 없는 게 사회, 과학, 역사의 경우... "
" 답변 1 . 교복 위에 입을 옷 (후드 ,자켓) 인터넷에서 어디로 들어가 사야되나여? 교복에 어울리는, 입기좋은 겉옷 추천!! (봄·가을) | 김무비 KIM ... https://www.youtube.... "
 답변 안녕하세요질문자님. OA 자격증 관련 질문 남겨주셔서 답변남깁니다. OA 관련해서도움받을수있는 학원의 간략한 설명과 도움받으실수있는 링크 남겨드리겠습니다. 제가... 
" 답변 안내문상 학생지원금은 스쿨뱅킹 원칙입니다 하지만 따로 되냐 문의전화로 문의바랍니다. < > 위는 2차 재난지원금 가장 정확한 안내 입니다.(최신) = 신청기간, 신청사이트... "
 답변 수학이였습니다 (질문자님은 잘하시면 잘 모르겠고 나머지는 거의 다 평이할거에요) [ 학교생활 관련 ] Q : 보통 선배들을 만나면 잘 모르는 선배여도 다 인사를 하고... 
 답변 중학생이 혼자 약국에 가서 약을 사도 처방해주나요 ?? 부모님이랑 가야되나요 ? 혼자 약국에 가서 살 수도 있는데 경구 피임약 성분은 대체로 비슷하지만 제조사마다... 
" 답변 안녕 나 중1여자 언니야 말 놓을게 ㅎ 1)중학생 필수품(최대한 많고, 자세하게 해주세용!) 음....우선 학교 처음이니까 메모할 노트랑 그냥 노트2갸정도??스프링으로 ㅎ 그리고... "
 답변 혹시 모르니 집에 박혀 있는게 좋죠.. 집에서 공부하세요 공부 못하는 탓하지말고 
" 답변 (아는 선배들이 중학생 되면 다들 놀 시간이 없다고 하시길래 질문합니다.) 중학생이 되면 일단 과목수가 많아지고,학원도 다니고 시험에 시달리게 됩니다.방학 빼구요... "
